country;pop;density;medianage;urbanpop;quarantine;schools;publicplace;hospibed;smokers;sex0;sex14;sex25;sex54;sex64;sex65plus;sexratio;lung;femalelung;malelung;gdp2019;healthexp;healthperpop;fertility;avgtemp;avghumidity
Rwanda;12,952,218;525.0;20.0;18.0;3/21/2020;;;1.6;;1.03;1.02;1.0;1.0;0.88;0.7;1.0;25.79;17.88;37.3;10,209;143;11.04058008;3.87;26.53333333;81.08333333
Saint Kitts and Nevis;53,199;205.0;34.8;32.9;;;;2.3;;1.02;1.01;0.94;1.05;1.0;0.83;1.0;;;;1,032;1443;27124.570010000003;1.77;;
Saint Lucia;183,627;301.0;34.0;19.0;;;;1.3;;1.06;1.06;1.03;0.93;0.86;0.83;0.95;24.89;13.02;37.89;1,992;681;3708.6049439999997;1.75;27.08333333;75.3
Saint Vincent and the Grenadines;115,000;307.0;33.0;78.0;;;;2.6;;1.03;1.02;1.02;1.08;1.06;0.87;1.03;18.27;6.31;30.45;856;470;4086.956522;1.8;26.33333333;76.53333333
San Marino;33,931;566.0;47.0;97.0;;;;3.8;;1.1;1.14;1.06;0.89;0.99;0.81;0.94;;;;1,591;3,675;108308.0369;1.5;;
Saudi Arabia;34,813,871;16.0;32.0;84.0;;;;2.7;15.4;1.05;1.05;1.15;1.31;1.21;1.05;1.19;12.41;9.55;15.56;779,289;3,121;89.648175;2.09;24.5;26.55
Senegal;16,743,927;87.0;19.0;49.0;;;;0.3;12.05;1.03;1.01;0.99;0.85;0.76;0.82;0.94;22.57;16.9;30.09;23,940;97;5.79314518;4.28;24.35;63.31666667
Serbia;8,737,371;100.0;42.0;56.0;;;;5.7;41.65;1.07;1.06;1.06;1.02;0.93;0.7;0.95;23.27;15.49;33.82;51,523;1,324;151.5329955;1.44;11.45;63.88333333
Seychelles;98,347;214.0;34.0;56.0;;;;3.6;25.9;1.03;1.05;1.1;1.12;1.06;0.64;1.06;19.52;11.52;31.47;1,644;867;8815.723915999999;1.85;20.68333333;43.26666667
Singapore;5,850,342;8358.0;42.0;99.0;;;;2.4;16.5;1.07;1.05;0.97;0.95;1.0;0.83;0.96;8.32;3.17;14.81;362,818;3,681;629.1939856;0.83;30.2;76.48333333
Slovakia;5,459,642;114.0;41.0;54.0;;;;4.8;28.65;1.07;1.05;1.06;1.02;0.9;0.62;0.94;11.72;6.72;19.81;106,552;2,062;377.68044130000004;1.41;9.033333333;71.78333333
Slovenia;2,078,938;103.0;45.0;55.0;;;;4.6;20.2;1.07;1.06;1.05;1.02;0.97;0.68;0.95;11.89;8.36;16.95;54,154;2,734;1315.094534;1.36;9.066666667;79.46666667
Somalia;15,893,222;25.0;17.0;47.0;;;;0.9;;1.03;1.0;1.02;1.07;0.96;0.64;1.01;18.02;15.15;21.39;4,958;174;10.94806327;5.8;29.2;76.46666667
South Africa;59,308,690;49.0;28.0;67.0;3/26/2020;;;2.8;18.95;1.02;1.01;0.98;1.02;0.87;0.73;0.98;44.3;28.03;75.32;358,839;1,086;18.31097601;2.29;29.81666667;47.68333333
Spain;46,754,778;94.0;45.0;80.0;3/15/2020;3/12/2020;;3.0;29.2;1.07;1.06;1.07;1.04;0.95;0.74;0.98;16.37;8.22;27.49;1,397,870;3,183;68.07860365;1.5;16.13333333;65.66666667
Sri Lanka;21,413,249;341.0;34.0;18.0;;;;3.6;14.4;1.04;1.04;1.03;0.96;0.86;0.74;0.96;21.58;15.38;29.36;86,566;353;16.48512096;2.07;32.28333333;75.18333333
Sudan;43,849,260;25.0;20.0;35.0;;;;0.8;;1.05;1.03;1.06;0.94;1.1;1.19;1.02;35.12;35.81;34.49;30,873;277;6.317096342999999;3.57;38.15;29.83333333
Suriname;586,632;4.0;29.0;65.0;;;;3.1;;1.05;1.04;1.04;1.04;0.96;0.76;1.01;13.41;10.01;17.6;3,774;1,017;1733.6251690000001;1.93;29.85;75.86666667
Sweden;10,099,265;25.0;41.0;88.0;;3/17/2020;;2.6;20.6;1.06;1.06;1.06;1.03;1.01;0.85;1.0;16.17;16.58;17.03;528,929;5,299;524.6916484;1.88;4.65;76.78333333
Switzerland;8,654,622;219.0;43.0;74.0;;3/13/2020;;4.7;23.3;1.06;1.06;1.04;1.01;1.0;0.78;0.97;15.22;11.94;19.47;715,360;7,583;876.1792254000001;1.56;9.45;78.63333333
Syria;17,390,388;95.0;25.6;60.0;;;;1.5;;1.06;1.05;1.03;0.99;0.98;0.82;1.01;11.71;7.94;16.19;60,043;169;9.718012042;2.84;;
Taiwan*;23,816,775;673.0;42.0;79.0;;2/2/2020;;10.4;;1.07;1.06;1.05;1.0;0.96;0.86;0.99;;;;586,104;3751;157.49403519999998;1.13;20.81666667;71.53333333
Tanzania;59,734,218;67.0;18.0;37.0;;;;0.7;15.65;1.03;1.02;1.0;1.01;0.78;0.75;0.99;18.09;14.24;22.47;62,224;96;1.607119055;4.77;25.9;86.98333333
Thailand;69,799,978;137.0;40.0;51.0;;;;2.1;21.85;1.05;1.05;1.04;0.98;0.89;0.78;0.97;25.82;12.91;41.67;529,177;610;8.739257769;1.52;35.26666667;53.58333333
Timor-Leste;1,318,445;89.0;20.8;32.8;;;;5.9;;1.07;1.06;1.03;0.93;1.04;0.91;1.01;30.82;28.59;34.07;2,938;141;106.9441653;4.1;;
Togo;8,278,724;152.0;19.0;43.0;;;;0.8;;1.03;1.01;1.0;0.99;0.89;0.76;0.98;29.36;24.97;34.77;5,502;96;11.59598991;4.38;32.8;68.15
Trinidad and Tobago;1,399,488;273.0;36.0;52.0;;;;3.0;;1.03;1.04;1.09;1.09;0.99;0.77;1.03;14.1;6.52;23.73;22,607;2,204;1574.861664;1.71;;
Tunisia;11,818,619;76.0;33.0;70.0;;;;2.3;;1.07;1.06;1.01;0.94;1.03;0.97;0.99;23.54;10.97;38.83;38,732;774;65.48988507;2.23;18.5;67.6
Turkey;84,339,067;110.0;32.0;76.0;;3/16/2020;3/16/2020;2.7;25.95;1.05;1.05;1.04;1.03;0.99;0.8;1.01;35.63;21.2;55.26;743,708;996;11.80947378;2.01;8.7;67.53333333
US;331,002,651;36.0;38.0;83.0;;;;2.9;17.25;1.05;1.04;1.05;1.0;0.93;0.79;0.97;32.01;30.04;34.55;21,439,453;9,536;28.80943694;1.87;13.75;73.4
Uganda;45,741,007;229.0;16.7;25.7;;;;0.5;9.65;1.03;1.0;0.98;1.0;0.93;0.79;0.99;22.19;18.74;26.45;30,666;139;3.038848707;5.01;;
Ukraine;43,733,762;75.0;41.0;69.0;;;;8.8;31.7;1.06;1.06;1.05;0.96;0.75;0.5;0.86;11.11;4.73;22.11;150,401;469;10.72398025;1.54;6.433333332999999;74.58333333
United Arab Emirates;9,890,402;118.0;33.0;86.0;;;;1.2;;1.05;1.05;1.47;3.2;2.93;1.69;2.18;18.37;12.55;20.21;405,771;2,426;245.2883108;2.32;21.93333333;92.31666667
United Kingdom;67,886,011;281.0;40.0;83.0;3/23/2020;3/20/2020;3/20/2020;2.8;19.15;1.05;1.05;1.04;1.04;0.98;0.81;0.99;23.66;21.11;26.84;2,743,586;4,145;61.05823481;1.88;6.433333332999999;74.58333333
Uruguay;3,473,730;20.0;36.0;96.0;;;;2.8;23.05;1.04;1.04;1.03;0.98;0.89;0.66;0.94;33.57;23.14;49.85;59,918;1,748;503.205488;1.8;28.7;55.98333333
Uzbekistan;33,469,203;79.0;28.0;50.0;;;;4.0;13.1;1.06;1.05;1.03;0.99;0.9;0.74;0.99;10.42;7.99;13.64;60,490;383;11.44335585;1.76;13.56666667;52.05
Venezuela;28,435,940;32.0;30.0;80.0;;;;0.8;;1.05;1.05;1.03;0.98;0.92;0.79;0.99;22.34;18.58;27.11;70,140;579;20.36155654;2.32;24.78333333;79.51666667
Vietnam;97,338,579;314.0;32.0;38.0;2/13/2020;2/12/2020;3/26/2020;2.6;24.2;1.11;1.11;1.08;1.01;0.85;0.63;1.0;26.26;16.8;41.72;261,637;334;3.431321922;1.81;24.16666667;73.75
Zambia;18,383,955;25.0;18.0;45.0;;;;2.0;15.55;1.03;1.01;1.0;1.02;0.88;0.76;1.0;20.04;15.2;26.16;23,946;203;11.04223765;5.63;24.96666667;87.76666667
Zimbabwe;14,862,924;38.0;18.7;38.4;;;;1.7;16.65;1.03;1.02;1.02;1.1;0.58;0.64;1.01;22.53;19.31;26.47;12,818;182;12.24523519;3.63;;
